county_city,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
".Montgomery County, Virginia","94,392","94,560","94,761","95,698","96,658","97,193","97,427","98,302","98,230","98,681","98,872","99,721","98,473"
".Nelson County, Virginia","15,020","14,978","15,019","14,802","14,799","14,867","14,764","14,802","14,800","14,836","14,867","14,775","14,790"
".New Kent County, Virginia","18,429","18,543","18,763","19,148","19,516","20,021","20,382","21,015","21,629","22,275","22,984","22,945","23,897"
".Newport News City, Virginia","180,719","180,905","180,139","180,148","181,388","181,661","181,121","180,472","179,738","178,904","179,736","186,247","184,587"
".Norfolk City, Virginia","242,803","243,019","243,701","246,247","245,598","246,756","246,667","246,042","244,908","244,168","243,581","238,005","235,089"
".Northampton County, Virginia","12,389","12,410","12,406","12,209","12,029","12,034","12,073","12,003","11,867","11,789","11,800","12,282","12,085"
".Northumberland County, Virginia","12,330","12,356","12,452","12,421","12,298","12,256","12,243","12,174","12,270","12,172","12,069","11,839","12,029"
".Norton City, Virginia","3,958","4,013","4,087","4,125","4,103","4,139","4,013","3,992","3,927","3,956","3,983","3,687","3,666"
".Nottoway County, Virginia","15,853","15,847","15,891","15,758","15,642","15,515","15,613","15,502","15,439","15,381","15,206","15,642","15,594"
".Orange County, Virginia","33,481","33,566","33,982","34,263","34,607","34,912","35,173","35,369","35,882","36,620","36,941","36,254","37,188"
".Page County, Virginia","24,042","24,062","23,956","23,841","23,724","23,787","23,667","23,633","23,801","24,005","23,937","23,709","23,807"
".Patrick County, Virginia","18,490","18,474","18,339","18,339","18,256","18,185","17,972","17,830","17,727","17,659","17,592","17,608","17,602"
".Petersburg City, Virginia","32,420","32,502","32,093","31,995","32,311","32,242","31,895","31,379","30,966","30,573","30,593","33,458","33,429"
".Pittsylvania County, Virginia","63,506","63,591","63,269","62,900","62,566","62,386","62,027","61,744","61,334","60,938","60,470","60,501","59,972"
".Poquoson City, Virginia","12,150","12,148","12,043","12,115","12,093","12,005","12,018","11,940","12,041","12,138","12,228","12,460","12,574"
".Portsmouth City, Virginia","95,535","95,457","95,767","96,516","96,123","95,886","96,407","95,287","94,964","94,879","94,582","97,915","97,840"
".Powhatan County, Virginia","28,046","28,133","28,138","28,186","28,315","28,504","28,068","28,463","28,722","29,199","29,734","30,333","31,136"
".Prince Edward County, Virginia","23,368","23,364","22,328","23,187","22,733","22,994","23,139","23,049","22,698","22,879","22,827","21,849","21,932"
".Prince George County, Virginia","35,725","35,643","36,734","37,155","37,376","37,465","38,306","38,026","38,049","38,170","38,528","43,010","42,880"
".Prince William County, Virginia","402,002","406,183","419,149","429,716","437,900","444,004","451,242","456,805","463,400","466,658","471,774","482,204","484,472"
".Pulaski County, Virginia","34,872","34,830","34,741","34,734","34,551","34,343","34,357","34,268","34,255","34,097","34,009","33,800","33,759"
".Radford City, Virginia","16,408","16,432","16,817","16,720","17,124","17,395","17,301","17,321","17,470","18,013","18,107","16,070","16,499"
".Rappahannock County, Virginia","7,373","7,502","7,478","7,414","7,433","7,344","7,409","7,384","7,409","7,373","7,372","7,348","7,407"
".Richmond City, Virginia","204,214","204,375","206,487","210,922","214,020","217,238","221,084","225,669","227,620","229,621","231,027","226,610","226,604"
".Richmond County, Virginia","9,254","9,276","9,204","9,076","8,948","8,880","8,779","8,755","8,882","8,982","9,066","8,923","9,017"
".Roanoke City, Virginia","97,032","96,722","96,791","98,034","98,884","99,475","99,741","99,383","98,989","98,964","99,216","100,011","98,865"
".Roanoke County, Virginia","92,376","92,416","92,841","92,771","93,354","93,428","93,439","93,520","93,900","94,161","94,423","96,929","96,589"
".Rockbridge County, Virginia","22,307","22,348","22,449","22,384","22,337","22,443","22,410","22,467","22,736","22,904","22,774","22,650","22,641"
".Rockingham County, Virginia","76,314","76,413","76,868","77,149","77,437","77,897","78,469","79,401","80,448","81,353","82,140","83,757","84,394"
".Russell County, Virginia","28,897","28,873","28,681","28,429","28,337","28,082","27,863","27,423","27,054","26,820","26,739","25,781","25,550"
".Salem City, Virginia","24,802","24,897","25,030","25,190","25,330","25,441","25,378","25,268","25,362","25,271","25,209","25,346","25,373"
".Scott County, Virginia","23,177","23,127","23,053","22,956","22,769","22,521","22,298","22,070","21,897","21,631","21,578","21,576","21,419"
".Shenandoah County, Virginia","41,993","42,048","42,266","42,532","42,514","42,737","42,863","42,962","43,319","43,464","43,557","44,186","44,752"
".Smyth County, Virginia","32,208","32,198","32,054","31,911","31,789","31,593","31,444","31,143","30,772","30,509","30,182","29,800","29,477"
".Southampton County, Virginia","18,570","18,642","18,638","18,506","18,330","18,224","18,139","18,090","17,866","17,757","17,797","17,996","18,006"
".Spotsylvania County, Virginia","122,397","122,981","124,557","125,867","127,449","128,881","130,042","131,401","132,889","134,227","136,447","140,032","143,676"
".Stafford County, Virginia","128,961","129,857","132,251","133,449","136,034","138,937","141,035","143,641","146,868","149,891","153,775","156,927","160,877"
".Staunton City, Virginia","23,746","23,738","24,023","23,808","24,100","24,287","24,192","24,218","24,395","24,583","24,916","25,750","25,661"
".Suffolk City, Virginia","84,585","84,859","84,808","85,320","85,832","86,976","88,190","89,360","90,228","91,135","92,277","94,324","96,194"
